State,StateID,District,DistrictID
Andaman and Nicobar Islands,1,Nicobar,3
Andaman and Nicobar Islands,1,North and Middle Andaman,1
Andaman and Nicobar Islands,1,South Andaman,2
Andhra Pradesh,2,Anantapur,9
Andhra Pradesh,2,Chittoor,10
Andhra Pradesh,2,East Godavari,11
Andhra Pradesh,2,Guntur,5
Andhra Pradesh,2,Krishna,4
Andhra Pradesh,2,Kurnool,7
Andhra Pradesh,2,Prakasam,12
Andhra Pradesh,2,Sri Potti Sriramulu Nellore,13
Andhra Pradesh,2,Srikakulam,14
Andhra Pradesh,2,Visakhapatnam,8
Andhra Pradesh,2,Vizianagaram,15
Andhra Pradesh,2,West Godavari,16
Andhra Pradesh,2,"YSR District, Kadapa (Cuddapah)",6
Arunachal Pradesh,3,Anjaw,22
Arunachal Pradesh,3,Changlang,20
Arunachal Pradesh,3,Dibang Valley,25
Arunachal Pradesh,3,East Kameng,23
Arunachal Pradesh,3,East Siang,42
Arunachal Pradesh,3,Itanagar Capital Complex,17
Arunachal Pradesh,3,Kamle,24
Arunachal Pradesh,3,Kra Daadi,27
Arunachal Pradesh,3,Kurung Kumey,21
Arunachal Pradesh,3,Lepa Rada,33
Arunachal Pradesh,3,Lohit,29
Arunachal Pradesh,3,Longding,40
Arunachal Pradesh,3,Lower Dibang Valley,31
Arunachal Pradesh,3,Lower Siang,18
Arunachal Pradesh,3,Lower Subansiri,32
Arunachal Pradesh,3,Namsai,36
Arunachal Pradesh,3,Pakke Kessang,19
Arunachal Pradesh,3,Papum Pare,39
Arunachal Pradesh,3,Shi Yomi,35
Arunachal Pradesh,3,Siang,37
Arunachal Pradesh,3,Tawang,30
Arunachal Pradesh,3,Tirap,26
Arunachal Pradesh,3,Upper Siang,34
Arunachal Pradesh,3,Upper Subansiri,41
Arunachal Pradesh,3,West Kameng,28
Arunachal Pradesh,3,West Siang,38
Assam,4,Baksa,46
Assam,4,Barpeta,47
Assam,4,Biswanath,765
Assam,4,Bongaigaon,57
Assam,4,Cachar,66
Assam,4,Charaideo,766
Assam,4,Chirang,58
Assam,4,Darrang,48
Assam,4,Dhemaji,62
Assam,4,Dhubri,59
Assam,4,Dibrugarh,43
Assam,4,Dima Hasao,67
Assam,4,Goalpara,60
Assam,4,Golaghat,53
Assam,4,Hailakandi,68
Assam,4,Hojai,764
Assam,4,Jorhat,54
Assam,4,Kamrup Metropolitan,49
Assam,4,Kamrup Rural,50
Assam,4,Karbi-Anglong,51
Assam,4,Karimganj,69
Assam,4,Kokrajhar,61
Assam,4,Lakhimpur,63
Assam,4,Majuli,767
Assam,4,Morigaon,55
Assam,4,Nagaon,56
Assam,4,Nalbari,52
Assam,4,Sivasagar,44
Assam,4,Sonitpur,64
Assam,4,South Salmara Mankachar,768
Assam,4,Tinsukia,45
Assam,4,Udalguri,65
Assam,4,West Karbi Anglong,769
Bihar,5,Araria,74
Bihar,5,Arwal,78
Bihar,5,Aurangabad,77
Bihar,5,Banka,83
Bihar,5,Begusarai,98
Bihar,5,Bhagalpur,82
Bihar,5,Bhojpur,99
Bihar,5,Buxar,100
Bihar,5,Darbhanga,94
Bihar,5,East Champaran,105
Bihar,5,Gaya,79
Bihar,5,Gopalganj,104
Bihar,5,Jamui,107
Bihar,5,Jehanabad,91
Bihar,5,Kaimur,80
Bihar,5,Katihar,75
Bihar,5,Khagaria,101
Bihar,5,Kishanganj,76
Bihar,5,Lakhisarai,84
Bihar,5,Madhepura,70
Bihar,5,Madhubani,95
Bihar,5,Munger,85
Bihar,5,Muzaffarpur,86
Bihar,5,Nalanda,90
Bihar,5,Nawada,92
Bihar,5,Patna,97
Bihar,5,Purnia,73
Bihar,5,Rohtas,81
Bihar,5,Saharsa,71
Bihar,5,Samastipur,96
Bihar,5,Saran,102
Bihar,5,Sheikhpura,93
Bihar,5,Sheohar,87
Bihar,5,Sitamarhi,88
Bihar,5,Siwan,103
Bihar,5,Supaul,72
Bihar,5,Vaishali,89
Bihar,5,West Champaran,106
Chandigarh,6,Chandigarh,108
Chhattisgarh,7,Balod,110
Chhattisgarh,7,Baloda bazar,111
Chhattisgarh,7,Balrampur,112
Chhattisgarh,7,Bastar,113
Chhattisgarh,7,Bemetara,114
Chhattisgarh,7,Bijapur,115
Chhattisgarh,7,Bilaspur,116
Chhattisgarh,7,Dantewada,117
Chhattisgarh,7,Dhamtari,118
Chhattisgarh,7,Durg,119
Chhattisgarh,7,Gariaband,120
Chhattisgarh,7,Gaurela Pendra Marwahi ,136
Chhattisgarh,7,Janjgir-Champa,121
Chhattisgarh,7,Jashpur,122
Chhattisgarh,7,Kanker,123
Chhattisgarh,7,Kawardha,135
Chhattisgarh,7,Kondagaon,124
Chhattisgarh,7,Korba,125
Chhattisgarh,7,Koriya,126
Chhattisgarh,7,Mahasamund,127
Chhattisgarh,7,Mungeli,128
Chhattisgarh,7,Narayanpur,129
Chhattisgarh,7,Raigarh,130
Chhattisgarh,7,Raipur,109
Chhattisgarh,7,Rajnandgaon,131
Chhattisgarh,7,Sukma,132
Chhattisgarh,7,Surajpur,133
Chhattisgarh,7,Surguja,134
Dadra and Nagar Haveli,8,Dadra and Nagar Haveli,137
Daman and Diu,37,Daman,138
Daman and Diu,37,Diu,139
Delhi,9,Central Delhi,141
Delhi,9,East Delhi,145
Delhi,9,New Delhi,140
Delhi,9,North Delhi,146
Delhi,9,North East Delhi,147
Delhi,9,North West Delhi,143
Delhi,9,Shahdara,148
Delhi,9,South Delhi,149
Delhi,9,South East Delhi,144
Delhi,9,South West Delhi,150
Delhi,9,West Delhi,142
Goa,10,North Goa,151
Goa,10,South Goa,152
Gujarat,11,Ahmedabad,154
Gujarat,11,Ahmedabad Corporation,770
Gujarat,11,Amreli,174
Gujarat,11,Anand,179
Gujarat,11,Aravalli,158
Gujarat,11,Banaskantha,159
Gujarat,11,Bharuch,180
Gujarat,11,Bhavnagar,175
Gujarat,11,Bhavnagar Corporation,771
Gujarat,11,Botad,176
Gujarat,11,Chhotaudepur,181
Gujarat,11,Dahod,182
Gujarat,11,Dang,163
Gujarat,11,Devbhumi Dwaraka,168
Gujarat,11,Gandhinagar,153
Gujarat,11,Gandhinagar Corporation,772
Gujarat,11,Gir Somnath,177
Gujarat,11,Jamnagar,169
Gujarat,11,Jamnagar Corporation,773
Gujarat,11,Junagadh,178
Gujarat,11,Junagadh Corporation,774
Gujarat,11,Kheda,156
Gujarat,11,Kutch,170
Gujarat,11,Mahisagar,183
Gujarat,11,Mehsana,160
Gujarat,11,Morbi,171
Gujarat,11,Narmada,184
Gujarat,11,Navsari,164
Gujarat,11,Panchmahal,185
Gujarat,11,Patan,161
Gujarat,11,Porbandar,172
Gujarat,11,Rajkot,173
Gujarat,11,Rajkot Corporation,775
Gujarat,11,Sabarkantha,162
Gujarat,11,Surat,165
Gujarat,11,Surat Corporation,776
Gujarat,11,Surendranagar,157
Gujarat,11,Tapi,166
Gujarat,11,Vadodara,155
Gujarat,11,Vadodara Corporation,777
Gujarat,11,Valsad,167
Haryana,12,Ambala,193
Haryana,12,Bhiwani,200
Haryana,12,Charkhi Dadri,201
Haryana,12,Faridabad,199
Haryana,12,Fatehabad,196
Haryana,12,Gurgaon,188
Haryana,12,Hisar,191
Haryana,12,Jhajjar,189
Haryana,12,Jind,204
Haryana,12,Kaithal,190
Haryana,12,Karnal,203
Haryana,12,Kurukshetra,186
